nome,uriVella,NovoElemento,uriNiovo
desert locusts,http://aims.fao.org/aos/agrovoc/c_9437f18a,deserts,http://aims.fao.org/aos/agrovoc/c_2205
honey bees,http://aims.fao.org/aos/agrovoc/c_3654,honey,http://aims.fao.org/aos/agrovoc/c_3652
bee broods,http://aims.fao.org/aos/agrovoc/c_856,Apidae,http://aims.fao.org/aos/agrovoc/c_865
bee larvae,http://aims.fao.org/aos/agrovoc/c_856,Apidae,http://aims.fao.org/aos/agrovoc/c_865
bee larvae,http://aims.fao.org/aos/agrovoc/c_856,larvae,http://aims.fao.org/aos/agrovoc/c_4204
male bees,http://aims.fao.org/aos/agrovoc/c_2389,males,http://aims.fao.org/aos/agrovoc/c_15995
worker bees,http://aims.fao.org/aos/agrovoc/c_8444,workers,http://aims.fao.org/aos/agrovoc/c_8445
workers (bees),http://aims.fao.org/aos/agrovoc/c_8444,workers,http://aims.fao.org/aos/agrovoc/c_8445
fall armyworms,http://aims.fao.org/aos/agrovoc/c_e6b223d7,autumn,http://aims.fao.org/aos/agrovoc/c_724
workers (ants),http://aims.fao.org/aos/agrovoc/c_f12be62f,workers,http://aims.fao.org/aos/agrovoc/c_8445
